グランドスタンド1-20,1,3522.32036,13855.56954,5,1,2,5,2
グランドスタンド21-39,2,3522.3564,13855.6055,5,1,2,5,2
グランドスタンド40-58,3,3522.3866,13855.67142,5,1,2,5,2
グランドスタンド59-77,4,3522.41726,13855.71888,5,1,2,5,2
第１コーナースタンド1-6,5,3522.54248,13855.91766,2,4,2,4,2
第１コーナースタンド7-12,6,3522.56108,13855.93728,2,4,2,4,2
第１コーナースタンド13-18,7,3522.57788,13855.96572,2,4,2,4,2
第１コーナースタンド19-24,8,3522.5954,13855.98546,2,4,2,4,2
グリーンファイト100R,9,3522.18728,13855.8339,4,2,4,2,2
コカコーラコーナー,10,3522.36374,13855.86204,3,2,3,2,5
アドバンコーナー,11,3522.25856,13855.67904,1,5,2,2,4
GR Supraコーナー,12,3522.09116,13855.42074,2,4,3,3,3
第１３コーナー,13,3522.09596,13855.34046,2,4,2,5,3
第１４コーナー,14,3522.05546,13855.26336,3,4,2,1,5
ダンロップコーナー（外）,15,3521.86076,13855.39794,2,5,4,1,3
ダンロップコーナー（内）,16,3521.95682,13855.43388,2,5,4,1,3
300R,17,3522.03698,13855.60542,4,3,4,1,3
TGRコーナー,18,3522.4874,13855.97562,3,4,4,1,2
パナソニックコーナー,19,3522.01304,13855.15998,1,5,3,3,3
